,unixtime,price,amount
158,1714363826,62434.0,0.00233781
159,1714363826,62438.0,0.00646918
160,1714363826,62438.0,0.00115018
161,1714363826,62443.0,0.01285421
162,1714363826,62440.0,0.0045335
163,1714363826,62440.0,0.0032895
164,1714363826,62437.0,0.00261745
165,1714363800,62426.0,0.0026112
166,1714363780,62424.0,0.0400493
167,1714363780,62423.0,0.008387
168,1714363648,62413.0,0.00036
169,1714363642,62400.0,0.00145
170,1714363617,62361.0,0.0005
171,1714363596,62358.0,0.1612
172,1714363596,62358.0,0.1612
173,1714363579,62352.0,0.414631
174,1714363579,62346.0,0.012531
175,1714363579,62342.0,0.04010163
176,1714363579,62341.0,0.00273637
177,1714363578,62336.0,0.32715762
178,1714363578,62332.0,0.012406
179,1714363578,62330.0,0.16043638
180,1714363576,62326.0,0.02669195
181,1714363576,62326.0,0.40126607
182,1714363576,62325.0,0.012405
183,1714363575,62324.0,0.04011354
184,1714363568,62310.0,0.15688092
185,1714363568,62310.0,0.33311908
186,1714363534,62381.0,0.00776
187,1714363531,62377.0,0.00521722
188,1714363513,62394.0,3.34e-06
189,1714363513,62394.0,0.01458
190,1714363500,62356.0,0.0026112
191,1714363398,62341.0,0.0661
192,1714363373,62369.0,0.00090452
193,1714363367,62371.0,0.00015209
194,1714363361,62352.0,0.00049
195,1714363350,62351.0,3.63e-06
196,1714363345,62351.0,0.01676
197,1714363336,62347.0,0.00030428
198,1714363323,62321.0,0.00077
199,1714363315,62338.0,5.53e-06
200,1714363315,62338.0,0.00953
201,1714363299,62310.0,0.00929842
202,1714363284,62300.0,0.00927
203,1714363278,62276.0,0.00303716
204,1714363277,62293.0,0.00442
205,1714363265,62211.0,0.00131794
206,1714363263,62211.0,0.00150358
207,1714363257,62238.0,0.00032124
208,1714363254,62231.0,0.00022849
209,1714363244,62259.0,0.00071346
210,1714363239,62211.0,0.42138751
211,1714363239,62211.0,0.42138751
212,1714363239,62211.0,0.36778031
213,1714363239,62211.0,0.36705724
214,1714363239,62211.0,0.38756929
215,1714363239,62211.0,0.32436468
216,1714363237,62220.0,0.00031931
217,1714363237,62211.0,0.59
218,1714363237,62211.0,0.38918016
219,1714363237,62211.0,0.37774312
220,1714363237,62211.0,0.32676299
221,1714363237,62211.0,0.3755921
222,1714363237,62211.0,0.3755921
223,1714363237,62211.0,0.36614716
224,1714363237,62211.0,0.36614716
225,1714363237,62211.0,0.35890065
226,1714363237,62211.0,0.32459095
227,1714363237,62211.0,0.32513215
228,1714363237,62211.0,0.1612
229,1714363237,62211.0,0.4158
230,1714363237,62211.0,0.1149
231,1714363236,62221.0,5e-05
232,1714363236,62221.0,0.0004
233,1714363236,62223.0,2.199e-05
234,1714363236,62223.0,0.0002
235,1714363225,62258.0,1e-05
236,1714363225,62258.0,0.0016
237,1714363225,62262.0,0.0026
238,1714363224,62260.0,0.00605446
239,1714363224,62260.0,0.00852887
240,1714363214,62258.0,0.15635461
241,1714363200,62270.0,0.0026112
242,1714363166,62288.0,2.523e-05
243,1714363166,62288.0,0.0079
244,1714363148,62297.0,0.0171
245,1714363148,62297.0,0.1151
246,1714363148,62297.0,0.0082
247,1714363148,62297.0,0.0016
248,1714363148,62297.0,0.1612
249,1714363148,62297.0,0.0048
250,1714363148,62297.0,0.3511
251,1714363148,62297.0,0.0004
252,1714363148,62297.0,0.0022
253,1714363148,62297.0,0.0231
254,1714363148,62297.0,0.0172
255,1714363146,62254.0,0.1612
256,1714363146,62254.0,0.1612
257,1714363143,62291.0,0.616725
258,1714363143,62226.0,0.00038929
259,1714363143,62226.0,0.24213905
260,1714363143,62226.0,0.34483038
261,1714363143,62226.0,0.9053334
262,1714363143,62226.0,0.00769717
263,1714363143,62227.0,0.00388458
264,1714363143,62236.0,0.1612
265,1714363143,62261.0,0.1612
266,1714363142,62292.0,0.0168
267,1714363142,62275.0,0.064299
268,1714363142,62275.0,0.0045
269,1714363142,62275.0,0.728601
270,1714363142,62275.0,0.0056
271,1714363142,62257.0,0.0021
272,1714363142,62257.0,0.1307
273,1714363142,62257.0,0.001
274,1714363142,62257.0,0.0139
275,1714363142,62257.0,0.0319
276,1714363142,62258.0,0.052
277,1714363142,62258.0,1.3799
278,1714363142,62258.0,0.04578318
279,1714363142,62258.0,0.10331682
280,1714363142,62258.0,0.0512856
281,1714363142,62257.0,0.5652234
282,1714363142,62257.0,0.1867
283,1714363142,62257.0,0.0599
284,1714363142,62258.0,0.2643
285,1714363142,62258.0,0.03209758
286,1714363142,62250.0,0.03211101
287,1714363142,62257.0,0.1612
288,1714363142,62239.0,0.0642681
289,1714363142,62245.0,0.1612
290,1714363142,62250.0,0.5
291,1714363142,62254.0,0.005
292,1714363142,62257.0,0.1512
293,1714363142,62257.0,0.01
294,1714363141,62285.0,0.00926495
295,1714363141,62285.0,0.00022167
296,1714363141,62300.0,0.00221593
297,1714363141,62300.0,0.00017586
298,1714363141,62300.0,0.02020063
299,1714363141,62300.0,0.01
300,1714363141,62308.0,0.00193862
301,1714363141,62315.0,0.00221522
302,1714363141,62323.0,0.001938
303,1714363141,62330.0,0.00221451
304,1714363141,62331.0,0.00032022
305,1714363141,62338.0,0.04123071
306,1714363141,62338.0,0.48420444
307,1714363141,62338.0,0.00193737
308,1714363141,62341.0,0.003
309,1714363141,62345.0,0.41385819
310,1714363141,62345.0,0.01
311,1714363141,62345.0,0.17654602
312,1714363141,62345.0,0.00221379
313,1714363141,62347.0,0.00022134
314,1714363141,62350.0,0.00039127
315,1714363141,62353.0,0.00193675
316,1714363141,62353.0,0.52526679
317,1714363141,62360.0,0.00221308
318,1714363141,62360.0,0.19421096
319,1714363141,62360.0,0.0666153
320,1714363141,62360.0,0.01
321,1714363141,62360.0,0.32938554
322,1714363141,62364.0,0.02758001
323,1714363141,62368.0,0.00193613
324,1714363141,62368.0,0.52509832
325,1714363141,62375.0,0.00221237
326,1714363141,62375.0,0.6000193
327,1714363141,62383.0,0.00193551
328,1714363141,62383.0,0.15001309
329,1714363141,62383.0,0.11346702
330,1714363141,62383.0,0.26144981
331,1714363141,62387.0,0.00031993
332,1714363141,62390.0,0.00221166
333,1714363141,62390.0,0.54982696
334,1714363140,62390.0,0.01
335,1714363140,62390.0,0.01
336,1714363140,62390.0,0.03
337,1714363140,62398.0,0.52476167
338,1714363140,62398.0,0.00193488
339,1714363140,62405.0,0.0745158
340,1714363140,62405.0,0.35392494
341,1714363140,62405.0,0.01
342,1714363140,62405.0,0.01
343,1714363140,62405.0,0.08
344,1714363140,62405.0,0.02
345,1714363140,62405.0,0.01
346,1714363140,62405.0,0.00246733
347,1714363140,62405.0,0.1132424
348,1714363140,62409.0,0.00022462
349,1714363140,62413.0,0.27855498
350,1714363140,62413.0,0.24603849
351,1714363140,62414.0,0.02
352,1714363140,62420.0,0.27836151
353,1714363140,62420.0,0.00420646
354,1714363140,62420.0,0.05
355,1714363140,62420.0,0.0106
356,1714363140,62420.0,0.0031
357,1714363140,62420.0,0.0328
358,1714363140,62420.0,0.0024
359,1714363140,62420.0,0.0117
360,1714363140,62420.0,0.0016
361,1714363140,62420.0,0.0091
362,1714363140,62420.0,0.19557458
363,1714363140,62428.0,0.52442542
364,1714363140,62430.0,0.02
365,1714363140,62435.0,0.11676707
366,1714363140,62435.0,0.48248346
367,1714363121,62487.0,0.00213
368,1714363121,62481.0,0.00032
369,1714363118,62451.0,0.042
370,1714363111,62443.0,0.02
371,1714363111,62443.0,0.02
372,1714363111,62443.0,0.19953979
373,1714363111,62443.0,0.32272729
374,1714363105,62443.0,0.00199037
375,1714363105,62462.0,0.02
376,1714363105,62462.0,0.02
377,1714363105,62470.0,0.0164076
378,1714363104,62470.0,0.00179623
379,1714363104,62470.0,0.00179617
380,1714363104,62483.0,0.0055
381,1714363104,62483.0,0.0145
382,1714363097,62505.0,0.03999726
383,1714363096,62505.0,0.03999726
384,1714363084,62537.0,0.00145
385,1714363069,62558.0,0.00696
386,1714363064,62541.0,0.03997425
387,1714363064,62534.0,0.066
388,1714363038,62539.0,0.0017
389,1714363031,62560.0,0.00229
390,1714363014,62571.0,0.00093
391,1714363011,62574.0,0.01798883
392,1714363011,62568.0,0.1598283
393,1714363011,62566.0,0.0399578
394,1714363003,62565.0,0.00144
395,1714362955,62553.0,0.00020438
396,1714362944,62559.0,0.00756
397,1714362943,62561.0,0.00392624
398,1714362934,62563.0,0.00039
399,1714362916,62594.0,0.03993993
400,1714362916,62594.0,0.15975972
401,1714362916,62593.0,0.00098123
402,1714362909,62593.0,0.00025006
403,1714362909,62593.0,0.01458333
404,1714362909,62593.0,0.00529611
405,1714362904,62596.0,0.00368113
406,1714362900,62604.0,0.0026112
